index,parentObjectID,childObjectID,relationship
6156,53591,53592,inseparable
6207,112451,112452,inseparable
6215,63133,63134,inseparable
6257,141598,120714,separable
6325,4763,4764,inseparable
6355,123151,124434,separable
6452,49063,49064,inseparable
6468,76075,76076,inseparable
6496,122029,144453,inseparable
6526,69206,69207,inseparable
6533,132676,219524,inseparable
6563,36711,36712,inseparable
6573,184390,206513,inseparable
6604,93830,93878,inseparable
6678,125733,125734,inseparable
6682,78161,125559,separable
6696,122733,144497,inseparable
6717,42952,42953,inseparable
6740,41661,41662,inseparable
6763,106722,106723,inseparable
6768,116709,116710,inseparable
6815,74253,74254,inseparable
6863,139327,144649,inseparable
6886,36707,36709,inseparable
6921,106740,106741,inseparable
6951,123375,123376,inseparable
6981,182,183,separable
7007,74785,74786,inseparable
7022,112458,112459,inseparable
7040,119071,119072,inseparable
7061,63151,63152,inseparable
7096,129443,129444,inseparable
7200,69257,69258,inseparable
7202,139265,139266,inseparable
7213,69052,69053,inseparable
7267,74561,74562,inseparable
7271,108659,108660,inseparable
7280,69993,69994,inseparable
7310,159429,167946,inseparable
7329,106733,150296,inseparable
7353,97590,97591,inseparable
7357,143710,151242,inseparable
7378,74872,74873,inseparable
7444,180921,206586,inseparable
7451,62934,62935,inseparable
7454,72080,72081,inseparable
7460,141599,120708,separable
7469,74261,74262,inseparable
7481,122844,144503,inseparable
7506,9223,9224,inseparable
7534,76114,76115,inseparable
7569,136962,137516,separable
7573,41598,41599,inseparable
7591,56285,56286,inseparable
7606,164740,98640,separable
7641,130959,130960,inseparable
7657,69141,69142,inseparable
7682,141598,120715,separable
7717,111637,140101,separable
7721,204723,208346,inseparable
7754,103451,101584,separable
7817,139337,159866,inseparable
7827,71591,71592,inseparable
7841,66567,66569,inseparable
7859,143848,151238,inseparable
7860,123150,124436,separable
7868,184294,209286,inseparable
7899,33753,33754,inseparable
7922,164736,116283,separable
7923,126911,126912,inseparable
7998,76156,76157,inseparable
8065,58185,58186,inseparable
8080,133912,133913,inseparable
8098,77943,77944,inseparable
8104,139215,144648,inseparable
8125,206127,29,separable
8198,176196,215734,inseparable
8201,74231,74232,inseparable
8260,57830,57831,inseparable
8288,46306,46307,inseparable
8332,36875,36877,inseparable
8406,75963,75964,inseparable
8414,47526,47527,inseparable
8426,61447,61448,inseparable
8428,194569,206511,inseparable
8466,41980,41981,inseparable
8507,106704,106707,separable
8512,69055,69056,inseparable
8537,93148,93149,inseparable
8556,63003,63004,inseparable
8558,91245,91246,inseparable
8577,141603,120710,separable
8754,55162,55163,inseparable
8757,91589,91590,inseparable
8809,133678,133680,separable
8816,40106,40107,inseparable
8838,51431,51432,inseparable
8872,63122,63123,inseparable
8888,218993,221436,separable
8934,6015,6016,inseparable
8941,57563,57564,inseparable
9029,218993,221419,separable
9032,103451,101585,separable
9036,218993,221430,separable
9054,3790,3791,inseparable
9094,74978,74988,inseparable
9096,141600,120707,separable
9114,164738,116408,separable
9136,106704,106708,separable
9138,63585,63586,inseparable
9158,218993,221441,separable
9176,123150,124442,separable
9180,112523,112524,inseparable
9195,92078,92079,inseparable
9284,69229,69230,inseparable
9288,72064,72065,inseparable
9430,134335,134336,inseparable
9457,66483,66484,inseparable
9522,184302,206509,inseparable
9549,184171,206553,inseparable
9611,153920,160842,inseparable
9655,56960,56961,inseparable
9677,122988,144518,inseparable
9716,122476,144478,inseparable
9729,75829,75830,inseparable
9785,57466,57467,inseparable
9791,54764,54765,inseparable
9816,69106,69107,inseparable
9854,122211,144463,inseparable
9856,143929,144857,inseparable
9886,49066,49067,inseparable
9890,207839,208683,inseparable
9909,143664,151228,inseparable
9922,184330,206543,inseparable
9961,93013,93014,inseparable
9995,71123,71124,inseparable
10043,97553,97554,inseparable
10077,184266,214923,inseparable
10094,56594,56595,inseparable
10113,65572,65573,inseparable
10178,12143,272,separable
10219,68880,68881,inseparable
10302,122417,144475,inseparable
10310,164740,110069,separable
10328,122491,144481,inseparable
10395,42395,42396,inseparable
10412,110203,110204,inseparable
10413,138344,160557,inseparable
10463,74211,74212,inseparable
10531,46981,46982,inseparable
10536,206127,30,separable
10544,74227,74228,inseparable
10550,51435,51436,inseparable
10553,86030,86031,inseparable
10564,156455,164225,separable
10574,122913,144511,inseparable
10583,123150,124440,separable
10595,164865,125321,separable
10608,66550,66551,inseparable
10614,122660,144495,inseparable
10641,69234,69235,inseparable
10645,122485,144480,inseparable
10672,10396,10397,inseparable
10680,133678,133679,separable
10714,139099,159752,inseparable
10724,134401,134402,inseparable
10726,123151,124430,separable
10813,130428,144464,inseparable
10834,92102,92103,inseparable
10842,122886,144509,inseparable
10882,160,161,inseparable
10902,66557,66559,inseparable
10970,122049,144456,inseparable
10973,37011,37012,inseparable
10977,51429,51430,inseparable
11015,74239,74240,inseparable
11058,69010,69011,inseparable
11067,206125,37635,separable
11136,120622,120623,inseparable
11148,122048,144455,inseparable
11150,68804,68805,inseparable
11158,154827,158060,inseparable
11160,164869,125319,separable
11164,206124,891,separable
11222,68893,68894,inseparable
11238,122385,144469,inseparable
11244,198149,206506,inseparable
11251,164738,116409,separable
11278,74259,74260,inseparable
11345,122613,144491,inseparable
11582,159425,167945,inseparable
11626,139284,144647,inseparable
11638,8743,8744,inseparable
11674,206072,198424,separable
11698,123151,124433,separable
11700,122383,144468,inseparable
11722,69020,69021,inseparable
11738,122066,144457,inseparable
11747,107002,107003,inseparable
11754,219523,221206,inseparable
11758,47120,47121,inseparable
11763,93836,93837,inseparable
11807,55417,55419,inseparable
11814,72874,72875,inseparable
11838,164865,121474,separable
11868,129923,129924,inseparable
11880,69187,69188,inseparable
11893,74271,74272,inseparable
11903,74249,74250,inseparable
11945,74221,74222,inseparable
11969,218993,221424,separable
11980,122968,144515,inseparable
12036,182229,206670,inseparable
12084,143760,151232,inseparable
12097,134284,134285,inseparable
12100,122519,144482,inseparable
12138,218993,221437,separable
12160,218993,221423,separable
12201,66481,66482,inseparable
12205,123178,124463,separable
12211,60784,153335,inseparable
12214,98222,98223,inseparable
12228,45989,45990,inseparable
12236,98212,98213,inseparable
12287,76161,76162,inseparable
12332,66561,66562,inseparable
12336,11302,11303,inseparable
12345,66557,66558,inseparable
12364,124424,124427,separable
12404,67474,67475,inseparable
12418,157768,157776,inseparable
12446,76141,76142,inseparable
12454,123151,124432,separable
12514,77219,77220,separable
12539,67931,67932,inseparable
12592,132010,132011,inseparable
12603,69232,69233,inseparable
12660,56379,56380,inseparable
12700,136153,136154,inseparable
12858,36875,36876,inseparable
12872,84666,84667,inseparable
12896,71113,71114,inseparable
12914,51439,51440,inseparable
12951,50887,50888,inseparable
12961,68782,68783,inseparable
12988,184350,206614,inseparable
13023,143702,151241,inseparable
13027,111607,111608,inseparable
13061,74192,74193,inseparable
13146,120633,120634,inseparable
13164,74978,74981,inseparable
13166,123179,124458,separable
13206,7183,7184,inseparable
13211,67552,67553,inseparable
13263,139096,159751,inseparable
13331,164740,110071,separable
13347,75753,75754,inseparable
13351,68697,68698,inseparable
13364,36707,36708,inseparable
13369,111618,111619,inseparable
13387,122636,144494,inseparable
13389,68954,68955,inseparable
13428,102628,102629,inseparable
13451,214226,214227,separable
13478,67573,67574,inseparable
13480,77809,153275,inseparable
13529,69219,69220,inseparable
13557,75293,133782,separable
13559,164738,116406,separable
13596,116712,116713,inseparable
13608,206122,2,separable
13628,121968,121969,inseparable
13629,68875,68876,inseparable
13638,106704,106706,separable
13677,122848,144505,inseparable
13694,141591,120784,separable
13696,32037,32038,inseparable
13702,127765,127766,inseparable
13738,141601,120705,separable
13776,73454,73455,inseparable
13784,122532,144485,inseparable
13815,206071,41588,separable
13852,117751,117752,inseparable
13882,127357,127358,inseparable
13890,164736,112218,separable
13893,154517,159486,inseparable
13960,74235,74236,inseparable
13961,77219,77221,separable
13977,108663,108664,inseparable
13981,95318,95319,inseparable
14071,67554,67555,inseparable
14140,121964,121965,inseparable
14197,74205,74206,inseparable
14205,206585,210477,separable
14292,124955,124956,inseparable
14332,206122,4,separable
14348,68952,68953,inseparable
14390,11305,11306,inseparable
14403,139104,139105,inseparable
14407,68878,68879,inseparable
14438,67538,67539,inseparable
14445,41633,41635,separable
14453,124424,124425,separable
14460,180021,206650,inseparable
14510,102628,102630,inseparable
14523,122926,144513,inseparable
14557,68583,68584,inseparable
14562,218993,221420,separable
14577,55288,55289,inseparable
14617,141580,120700,separable
14662,74978,74980,inseparable
14670,68788,68789,inseparable
14774,169256,64490,separable
14785,98293,105875,separable
14788,173554,211358,inseparable
14794,76104,76105,inseparable
14846,79417,79418,inseparable
14905,121949,144449,inseparable
14911,206071,41586,separable
14915,41641,41642,separable
14982,66553,66555,inseparable
14996,61449,61450,inseparable
15013,69099,69100,inseparable
15021,74257,74258,inseparable
15042,68727,68728,inseparable
15057,138786,142971,inseparable
15181,71563,71564,inseparable
15188,141601,120704,separable
15230,122477,144479,inseparable
15237,69155,69156,inseparable
15240,77433,77434,inseparable
15249,129322,144477,inseparable
15272,68580,68581,inseparable
15279,204932,403,separable
15297,11500,11501,inseparable
15312,79412,79413,inseparable
15367,184289,206640,inseparable
15370,93006,93007,inseparable
15425,182227,206668,inseparable
15451,4060,4061,inseparable
15456,196206,206726,inseparable
15500,92131,92132,inseparable
15556,68692,68693,inseparable
15565,69018,69019,inseparable
15588,111637,140098,separable
15628,46835,46836,inseparable
15699,169173,205086,inseparable
15802,206071,41587,separable
15839,57458,57459,inseparable
15843,164736,116284,separable
15851,98224,98225,inseparable
15916,65765,65766,inseparable
15931,94478,94479,inseparable
15966,73861,73862,inseparable
15969,34691,34692,inseparable
15970,112850,112851,inseparable
15982,218993,221428,separable
16006,60788,60789,inseparable
16015,128730,144462,inseparable
16060,63001,63002,inseparable
16079,36875,36878,inseparable
16082,39716,39717,inseparable
16095,69101,69102,inseparable
16103,122705,144496,inseparable
16124,206126,7,separable
16160,74978,74982,inseparable
16184,74209,74210,inseparable
16256,206124,892,separable
16264,141579,120702,separable
16266,204739,213050,inseparable
16300,112456,112457,inseparable
16332,77439,77440,inseparable
16345,76041,76042,inseparable
16442,69095,69096,inseparable
16462,141607,120691,separable
16487,107543,107544,inseparable
16501,164864,129857,separable
16509,73509,73510,inseparable
16531,4055,4056,inseparable
16537,143700,151240,inseparable
16546,74552,74553,inseparable
16549,184285,209285,inseparable
16634,122774,144500,inseparable
16655,93008,93009,inseparable
16677,106704,106705,separable
16679,143927,144856,inseparable
16689,76176,76177,inseparable
16703,123178,124460,separable
16711,134397,134398,inseparable
16717,194711,209287,inseparable
16718,68574,68575,inseparable
16806,159424,167944,inseparable
16808,218993,221431,separable
16816,57126,57127,inseparable
16852,123150,124441,separable
16890,60763,60764,inseparable
16922,67543,67544,inseparable
16934,74219,74220,inseparable
16964,69090,69091,inseparable
16983,74255,74256,inseparable
17006,36694,36696,inseparable
17054,122524,144484,inseparable
17065,63088,63089,inseparable
17072,143654,151237,inseparable
17129,218993,221421,separable
17143,169256,64491,separable
17160,206072,198423,separable
17174,8949,8950,inseparable
17182,74251,74252,inseparable
17190,182235,206518,inseparable
17191,50668,50669,inseparable
17197,63032,63033,inseparable
17224,122902,144510,inseparable
17234,142536,163739,inseparable
17256,36711,36713,inseparable
17263,133627,149596,inseparable
17279,143762,152256,inseparable
17309,133678,133682,separable
17315,123151,124431,separable
17337,111873,111874,inseparable
17347,123152,124419,separable
17357,198388,205085,inseparable
17361,36698,36700,inseparable
17386,106704,106709,separable
17433,92073,92074,inseparable
17443,204932,402,separable
17449,76130,76131,inseparable
17483,68824,68825,inseparable
17505,74223,74224,inseparable
17508,139290,159867,inseparable
17522,197326,213036,separable
17530,36703,36705,inseparable
17546,67584,67585,inseparable
17552,11310,144446,inseparable
17555,75934,75935,inseparable
17558,75786,75787,inseparable
17591,68857,68858,inseparable
17705,122371,144467,inseparable
17715,134399,134400,inseparable
17723,74201,74202,inseparable
17732,68820,68821,inseparable
17749,131362,144452,inseparable
17793,51441,51442,inseparable
17859,67361,67362,inseparable
17912,94973,144447,inseparable
17934,72062,72063,inseparable
17940,74978,74986,inseparable
17957,74199,74200,inseparable
17967,74165,74166,inseparable
18011,69138,69139,inseparable
18035,76126,76127,inseparable
18135,123152,124416,separable
18148,159417,167942,inseparable
18228,122595,144489,inseparable
18230,41641,41643,separable
18243,40008,40009,inseparable
18253,122773,144499,inseparable
18258,66567,66568,inseparable
18299,122971,144517,inseparable
18636,67535,67536,inseparable
18655,39977,39978,inseparable
18668,124620,124621,inseparable
18680,123179,124456,separable
18728,107158,107159,inseparable
18837,69236,69237,inseparable
18853,159405,167940,inseparable
18855,93924,93925,inseparable
18909,133708,144545,inseparable
18914,68659,68660,inseparable
18946,11308,144448,inseparable
18979,92116,92117,inseparable
19033,122867,144506,inseparable
19042,36698,36699,inseparable
19105,122868,144508,inseparable
19112,124424,124426,separable
19117,74213,74214,inseparable
19152,122578,144488,inseparable
19160,53111,53112,inseparable
19165,50724,50725,inseparable
19239,218993,221426,separable
19244,108229,108230,inseparable
19258,164864,131056,separable
19302,123150,124439,separable
19373,141579,120703,separable
19382,67580,67581,inseparable
19416,184115,206551,inseparable
19432,123152,124417,separable
19466,4867,4868,inseparable
19494,53993,53994,inseparable
19499,63608,63610,inseparable
19516,206125,37634,separable
19535,164864,131055,separable
19617,122631,144493,inseparable
19642,123179,124455,separable
19728,131513,131514,inseparable
19766,142534,163730,inseparable
19767,206585,210481,separable
19781,68997,68998,inseparable
19793,4075,4076,inseparable
19823,143762,152253,inseparable
19869,134395,134396,inseparable
19923,56283,56284,inseparable
19935,74263,74264,inseparable
19940,73458,73459,inseparable
19945,164869,121481,separable
19960,112462,112463,inseparable
19986,122809,144501,inseparable
20024,76194,76195,inseparable
20052,68873,68874,inseparable
20092,110676,110677,inseparable
20113,69269,69270,inseparable
20141,196335,206495,inseparable
20158,103451,95747,separable
20168,67570,67571,inseparable
20172,198128,206588,inseparable
20226,67351,67352,inseparable
20227,73828,73829,inseparable
20243,142854,210459,inseparable
20244,169091,203012,separable
20265,57428,57429,separable
20288,108227,108228,inseparable
20290,76144,76145,inseparable
20328,69108,69109,inseparable
20366,111463,111464,inseparable
20371,107303,107304,inseparable
20372,73852,73853,inseparable
20404,135413,135414,inseparable
20405,218993,221433,separable
20479,133587,144532,inseparable
20504,66553,66554,inseparable
20512,194451,180666,separable
20604,74095,74096,inseparable
20610,112467,112468,inseparable
20632,106730,106731,inseparable
20657,142851,210087,inseparable
20685,169463,212344,inseparable
20703,122406,144471,inseparable
20704,184266,214924,inseparable
20742,68867,68868,inseparable
20758,218993,221440,separable
20767,122345,144465,inseparable
20769,46959,46960,inseparable
20798,39497,39498,inseparable
20832,164740,110072,separable
20854,130844,130845,inseparable
20855,124424,123149,separable
20960,74203,74204,inseparable
20978,122408,144472,inseparable
21026,123152,124415,separable
21027,75874,75875,inseparable
21031,74207,74208,inseparable
21032,122158,144460,inseparable
21045,112464,112465,inseparable
21049,51433,51434,inseparable
21079,122826,144502,inseparable
21117,143762,152254,inseparable
21186,138323,152352,inseparable
21207,122989,144519,inseparable
21347,75780,75781,inseparable
21363,134210,144535,inseparable
21375,156455,164224,separable
21383,74233,74234,inseparable
21404,47244,47245,inseparable
21427,139133,144646,inseparable
21453,93056,93057,inseparable
21475,69966,69967,inseparable
21490,74185,74186,inseparable
21491,133678,133681,separable
21509,41633,41636,separable
21558,41652,41653,separable
21650,136962,137517,separable
21665,197326,213037,separable
21724,164740,110073,separable
21736,118859,118860,inseparable
21766,48733,48734,inseparable
21776,106736,106737,inseparable
21794,218993,221435,separable
21804,69224,69225,inseparable
21831,156455,164226,separable
21844,164238,165973,inseparable
21896,103715,103716,inseparable
21942,73448,73449,inseparable
21963,122611,144490,inseparable
21975,75843,75845,inseparable
21991,122991,144520,inseparable
22042,159418,167943,inseparable
22057,42802,42803,inseparable
22058,74194,74195,inseparable
22076,71461,71462,inseparable
22131,218993,221429,separable
22144,62998,62999,inseparable
22151,55417,55418,inseparable
22156,57613,57614,inseparable
22157,62994,62995,inseparable
22173,124424,124428,separable
22308,63052,63053,inseparable
22335,143660,151227,inseparable
22342,206126,6,separable
22350,69958,142964,inseparable
22362,128582,128583,inseparable
22405,70236,70237,inseparable
22416,67672,67673,inseparable
22440,4765,4766,inseparable
22476,122166,144461,inseparable
22508,46747,46748,inseparable
22522,56583,56584,inseparable
22523,69097,69098,inseparable
22549,42949,42950,inseparable
22555,194572,206499,inseparable
22584,119190,119191,inseparable
22611,50758,50759,inseparable
22616,33974,33975,inseparable
22715,214236,214237,separable
22770,108925,159380,inseparable
22785,218993,221425,separable
22804,486,488,separable
22821,65728,65729,inseparable
22882,122424,144476,inseparable
22894,142573,208255,inseparable
22927,131875,131876,inseparable
22944,51427,51428,inseparable
22953,123152,124414,separable
22970,34594,34595,inseparable
22990,169451,206649,inseparable
23008,184830,206504,inseparable
23030,121967,144451,inseparable
23054,57634,57635,inseparable
23116,83993,83994,inseparable
23118,164738,116407,separable
23167,98205,98206,inseparable
23180,58715,58716,inseparable
23211,124618,124619,inseparable
23212,34694,34695,inseparable
23244,133678,133683,separable
23285,110655,110656,inseparable
23366,53997,53998,inseparable
23388,98293,105876,separable
23448,11309,144444,inseparable
23471,75843,75844,inseparable
23481,74978,74985,inseparable
23653,214236,214235,separable
23737,66557,66560,inseparable
23744,218993,221422,separable
23745,74225,74226,inseparable
23753,69119,69120,inseparable
23787,143763,151233,inseparable
