objectID,dimensionType,dimension,unitName
46633,width,65.4,centimeters
46633,height,92.1,centimeters
46628,width,47.5,centimeters
46628,height,59.1,centimeters
46629,width,64.3,centimeters
46629,height,81.0,centimeters
46639,width,61.3,centimeters
46639,height,50.2,centimeters
46640,width,80.1,centimeters
46640,height,95.2,centimeters
46650,width,33.2,centimeters
46650,height,46.2,centimeters
46653,width,60.0,centimeters
46653,height,81.1,centimeters
46656,width,73.0,centimeters
46656,height,99.6,centimeters
46658,width,100.0,centimeters
46658,height,65.1,centimeters
46659,width,97.8,centimeters
46659,height,132.0,centimeters
46679,width,74.0,centimeters
46679,height,92.4,centimeters
50291,width,100.2,centimeters
50291,height,126.5,centimeters
50722,width,47.5,centimeters
50722,height,63.6,centimeters
50725,width,37.0,centimeters
50725,height,38.1,centimeters
50726,width,15.5,centimeters
50726,height,21.0,centimeters
51096,width,73.5,centimeters
51096,height,105.5,centimeters
52154,width,103.0,centimeters
52154,height,67.0,centimeters
52164,width,21.2,centimeters
52164,height,24.4,centimeters
52161,width,54.9,centimeters
52161,height,37.2,centimeters
52173,width,42.9,centimeters
52173,height,34.7,centimeters
52184,width,24.8,centimeters
52184,height,17.0,centimeters
52182,width,34.9,centimeters
52182,height,26.6,centimeters
52188,width,80.3,centimeters
52188,height,61.0,centimeters
52190,width,64.8,centimeters
52190,height,54.0,centimeters
52194,width,54.6,centimeters
52194,height,65.4,centimeters
52197,width,73.0,centimeters
52197,height,54.3,centimeters
52199,width,65.4,centimeters
52199,height,54.9,centimeters
52269,width,43.5,centimeters
52269,height,33.3,centimeters
52225,width,25.0,centimeters
52225,height,15.9,centimeters
52241,width,22.9,centimeters
52241,height,26.9,centimeters
52390,width,54.4,centimeters
52390,height,65.2,centimeters
53116,width,76.9,centimeters
53116,height,122.7,centimeters
53125,width,91.4,centimeters
53125,height,64.8,centimeters
53131,width,58.5,centimeters
53131,height,86.2,centimeters
53528,width,51.7,centimeters
53528,height,155.6,centimeters
61250,width,100.3,centimeters
61250,height,81.3,centimeters
61353,width,167.8,centimeters
61353,height,151.0,centimeters
61373,width,243.8,centimeters
61373,height,173.9,centimeters
61369,width,92.7,centimeters
61369,height,73.0,centimeters
61380,width,165.0,centimeters
61380,height,218.4,centimeters
61381,width,160.0,centimeters
61381,height,185.4,centimeters
61377,width,101.6,centimeters
61377,height,65.7,centimeters
61382,width,65.1,centimeters
