parentObjectID,childObjectID,relationship
143848,151238,inseparable
123150,124436,separable
184294,209286,inseparable
33753,33754,inseparable
164736,116283,separable
126911,126912,inseparable
76156,76157,inseparable
58185,58186,inseparable
133912,133913,inseparable
77943,77944,inseparable
139215,144648,inseparable
206127,29,separable
176196,215734,inseparable
74231,74232,inseparable
57830,57831,inseparable
46306,46307,inseparable
36875,36877,inseparable
75963,75964,inseparable
47526,47527,inseparable
61447,61448,inseparable
194569,206511,inseparable
41980,41981,inseparable
106704,106707,separable
69055,69056,inseparable
93148,93149,inseparable
63003,63004,inseparable
91245,91246,inseparable
141603,120710,separable
55162,55163,inseparable
91589,91590,inseparable
133678,133680,separable
40106,40107,inseparable
51431,51432,inseparable
63122,63123,inseparable
218993,221436,separable
6015,6016,inseparable
57563,57564,inseparable
218993,221419,separable
103451,101585,separable
218993,221430,separable
3790,3791,inseparable
74978,74988,inseparable
141600,120707,separable
164738,116408,separable
106704,106708,separable
63585,63586,inseparable
218993,221441,separable
123150,124442,separable
112523,112524,inseparable
92078,92079,inseparable
69229,69230,inseparable
72064,72065,inseparable
134335,134336,inseparable
66483,66484,inseparable
184302,206509,inseparable
184171,206553,inseparable
153920,160842,inseparable
56960,56961,inseparable
122988,144518,inseparable
122476,144478,inseparable
75829,75830,inseparable
57466,57467,inseparable
54764,54765,inseparable
69106,69107,inseparable
122211,144463,inseparable
143929,144857,inseparable
49066,49067,inseparable
207839,208683,inseparable
143664,151228,inseparable
184330,206543,inseparable
93013,93014,inseparable
71123,71124,inseparable
97553,97554,inseparable
184266,214923,inseparable
56594,56595,inseparable
65572,65573,inseparable
12143,272,separable
68880,68881,inseparable
122417,144475,inseparable
164740,110069,separable
122491,144481,inseparable
42395,42396,inseparable
110203,110204,inseparable
138344,160557,inseparable
74211,74212,inseparable
46981,46982,inseparable
206127,30,separable
74227,74228,inseparable
51435,51436,inseparable
86030,86031,inseparable
156455,164225,separable
122913,144511,inseparable
123150,124440,separable
164865,125321,separable
66550,66551,inseparable
122660,144495,inseparable
69234,69235,inseparable
122485,144480,inseparable
10396,10397,inseparable
133678,133679,separable
139099,159752,inseparable
134401,134402,inseparable
123151,124430,separable
130428,144464,inseparable
92102,92103,inseparable
122886,144509,inseparable
160,161,inseparable
66557,66559,inseparable
122049,144456,inseparable
37011,37012,inseparable
51429,51430,inseparable
74239,74240,inseparable
69010,69011,inseparable
206125,37635,separable
120622,120623,inseparable
122048,144455,inseparable
68804,68805,inseparable
154827,158060,inseparable
164869,125319,separable
206124,891,separable
68893,68894,inseparable
122385,144469,inseparable
198149,206506,inseparable
164738,116409,separable
74259,74260,inseparable
122613,144491,inseparable
159425,167945,inseparable
139284,144647,inseparable
8743,8744,inseparable
206072,198424,separable
123151,124433,separable
122383,144468,inseparable
69020,69021,inseparable
122066,144457,inseparable
107002,107003,inseparable
219523,221206,inseparable
47120,47121,inseparable
93836,93837,inseparable
55417,55419,inseparable
72874,72875,inseparable
164865,121474,separable
129923,129924,inseparable
69187,69188,inseparable
74271,74272,inseparable
74249,74250,inseparable
